date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-05 08:06:29,MBJolnas,R4nd4hl,0,0,5,"Det handler jo ikke om hvor mange der dør (og der er stadig flere end influenza). Det handler om at samfundsøkonomien ryger fløjten når både udbud og efterspørgsel falder brat og sundhedssektoren vakler under presset. Her er Corona særligt slem da folk er syge i lang tid.",,,,1235476764001886208,https://twitter.com/MBJolnas/status/1235476764001886208
2020-03-05 07:44:46,H4gedorn,,0,0,1,"@minSU_dk I disse Corona-tider, hvor Italien overvejer lukninger af uddannelsesinstitutioner, hvordan vil det så forholde sig med SU hvis det samme ender med at ske i Danmark?",,@minSU_dk,,1235471297804742656,https://twitter.com/H4gedorn/status/1235471297804742656
2020-03-05 07:37:47,pfh74,,0,0,0,"#Corona is here… and what abort the virus from russia #smirnoff",,,#Corona #smirnoff,1235469543713255424,https://twitter.com/pfh74/status/1235469543713255424
2020-03-05 07:29:29,jarosjak,,2,0,0,"Havde spørgsmålet været: synes du vi skal være bekymrede? Eller hvordan tror du udvikle af Corona vil gå? Eller noget tredje i den dur Så havde hans svar været helt på sin plads 3/3",,,,1235467452135464961,https://twitter.com/jarosjak/status/1235467452135464961
2020-03-05 07:08:46,Vestfalen,,0,0,0,"Mon jeg kan forvente, ungernes klassekammerater som er på skiferie i #Italien i indeværende uge, ikke kommer retur på til #folkeskolen de kommende par uger? #coronavirus #Corona #https://www.dr.dk/nyheder/indland/derfor-er-karantaene-det-bedste-vaaben-mod-coronavirus-lige-nu",,,#Italien #folkeskolen #coronavirus #Corona,1235462239873896448,https://twitter.com/Vestfalen/status/1235462239873896448
2020-03-05 06:36:09,viborgfolkeblad,,0,0,0,"Syg Karup-soldat isolerer sig selv - frygter for corona-virus ",,,,1235454031901966339,https://twitter.com/viborgfolkeblad/status/1235454031901966339
2020-03-05 06:14:23,iJelle,KevinLundDK,0,0,0,"Medierne har råbt ulv så meget nu, at jeg har fået mig et ulve filter, og med ulv mener jeg naturligvis corona. Læser ganske simpelt ikke nyheder om det mere.",,,,1235448554707021824,https://twitter.com/iJelle/status/1235448554707021824
2020-03-05 05:48:02,fjallefar,,4,0,24,"Jeg sidder i et fly med 150 mennesker der har været i Costa del sol på vej til Danmark.. Manden til venstre for mig pudser næse med 30 sekunders mellemrum .. Det eneste der kører rundt i mit hoved er .. ITS CORONA TIME ..",,,,1235441924816990208,https://twitter.com/fjallefar/status/1235441924816990208
2020-03-05 01:05:42,handmwidstale,lightheungmin,1,0,0,"corona vírus é vc?",,,,1235370872149549056,https://twitter.com/handmwidstale/status/1235370872149549056
2020-03-05 00:56:26,besoyepirozi,,1,4,4,"Skynd dig til Corona ved hjælp af det iranske folk og fanger. Katona-katastrofen i Iran er meget alvorlig #COVIDー19 #Covid_19 #coronawirus @larsloekke @JoachaimBOlsen @Statsmins @mortenhelveg @VP @RasmusTanthold @Mike_Pence @USAdarFarsi @haw @UNHumanRights",,@larsloekke @mortenhelveg @VP @Mike_Pence @USAdarFarsi @HAW @UNHumanRights,#COVID #Covid_19 #coronawirus,1235368537478385665,https://twitter.com/besoyepirozi/status/1235368537478385665
2020-03-05 00:56:24,besoyepirozi,,1,9,6,"Corona-katastrofe i Iran Fare for at sprede koronaepidemien til hele verden Senest onsdag 8. marts er mere end 1.300 mennesker dræbt #Covid_19 #Coronvirus @jppolitik @politikdr @dr2tv @DRNyheder @berlingske @UMBorgeservice @p1radio @DR3TV @SFpolitik @kresteligt",,@jppolitik @politikdr @dr2tv @DRNyheder @berlingske @P1radio @DR3TV @SFpolitik,#Covid_19 #Coronvirus,1235368529244893184,https://twitter.com/besoyepirozi/status/1235368529244893184
2020-03-05 00:37:42,JohanneWejse,TjekDet,0,0,0,"#Coronavirus skaber det bedste miljø for misinformation. Godt med gode eksperter til at afvise det - eksempelvis den kloge @wejse1! (Som udover at være klog på corona også har opdraget en ret klog datter...) ",,@wejse1,#Coronavirus,1235363824921796608,https://twitter.com/JohanneWejse/status/1235363824921796608
2020-03-04 23:27:51,mfrp100,,0,0,0,"6 casos confirmados de corona vírus.. 4 no porto e 2 em Lisboa.",,,,1235346246447046658,https://twitter.com/mfrp100/status/1235346246447046658
2020-03-04 22:25:14,robertbedsted,,1,0,0,"Hver gang Folketinget vedtager en ny lov, er der uforudsete bivirkninger ved de nye bestemmelser. Tag nu “burka-forbuddet”. Med et trylleslag forbød man en beklædningsgenstand, der halvandet år senere ret effektivt ville have beskyttet mod dråbebåret Coronavirus #dkpol #Corona",,,#dkpol #Corona,1235330487499083778,https://twitter.com/robertbedsted/status/1235330487499083778
2020-03-04 22:18:53,HejlsNor,linekroejgaard,0,0,0,"Du skal ikke ringe til lægevagten. De tager kun Corona patienter ?? ...lige??? ....nu???? Har du drukket Corona? Nå, så ring alligevel, men du skal kun sige Corona, Corona, Corona ......",,,,1235328892149411841,https://twitter.com/HejlsNor/status/1235328892149411841
2020-03-04 21:38:08,HejlsNor,kaaretraberg,0,0,0,"Man skulle jo nødigt kunne bebrejdes, at medvirke til at sprede Corona. Og mange forsamlingssteder lukkes rundt i verden, så der er heller ikke så mange penge i det. Men det er vel en biting? ",,,,1235318636631511043,https://twitter.com/HejlsNor/status/1235318636631511043
2020-03-04 21:09:12,NielsRysz,,1,1,3,"Bevares, corona er slem, men det er trods alt ikke GDPR.",,,,1235311354132738050,https://twitter.com/NielsRysz/status/1235311354132738050
2020-03-04 20:57:22,SkaltonDK,,0,0,0," 1-2, testing, but what if you have to stay away from your job (radio station) in fear of spreading the corona virus. How will your station stay on air? #røde #zetta2go #rcsworks #beeprepared #corona ",,,#r #zetta2go #rcsworks #beeprepared #corona,1235308375090614272,https://twitter.com/SkaltonDK/status/1235308375090614272
2020-03-04 20:53:57,SylvesterRoen,007,0,0,6,"Virus. Corona Virus. ",,,,1235307516764049412,https://twitter.com/SylvesterRoen/status/1235307516764049412
2020-03-04 20:53:27,jaysoyham,zicoslefttiddy,0,0,0,"Does your country have a corona hotline?",,,,1235307388732944387,https://twitter.com/jaysoyham/status/1235307388732944387
2020-03-04 20:26:46,harlekin96,mkraju,0,0,1,"""It's classified"" Isn't this an ominous sign that the situation is completely out of control, that in reality far more people in the US are believed to be infected with the novel corona-virus than the official number has indicated so far?",,,,1235300677640998914,https://twitter.com/harlekin96/status/1235300677640998914
2020-03-04 20:24:47,bea_amie,,0,0,0,"i stg if saturday is cancelled bc of corona i will cry",,,,1235300175125585922,https://twitter.com/bea_amie/status/1235300175125585922
2020-03-04 20:04:37,TheChrizzy,Hallie,0,0,0,"This tweet was literally the first (still available) tweet to ever include the word Corona.... ",,,,1235295100269363201,https://twitter.com/TheChrizzy/status/1235295100269363201
2020-03-04 19:48:08,Frenjon,AndersSchaffner,0,0,2,"Tak for anbefalingen Anders. Minder mig noget om The Daily fra @nytimes som også er super godt. Gode udsendelser/afsnit. Spot on og ikke så meget udenomssnak. Specielt godt afsnit med Corona Lone :)",,@nytimes,,1235290954543894530,https://twitter.com/Frenjon/status/1235290954543894530
2020-03-04 19:40:15,tjelleconcarne,,0,0,0,"Corona? I hardly know her!",,,,1235288967538454530,https://twitter.com/tjelleconcarne/status/1235288967538454530
